ApplicationNumber,ApplicationDate,JobRole,LAName,OfficerAuthorised,Theme,ResponseDate,AcceptanceStatus,ODICertificateURL,DGUURL,InventoryURL,LocalCodes,DatasetURL,SchemaURL,GuidanceURL,FrequencyOfPublishing,FOINumberEst, SubmissionComplete,LastLAUpdate,TechReviewStatus,LastTechUpdate,AdminReviewStatus,PaymentAmount,Closed,LastAdminUpdate,ApplicantNotes,AdministrationNotes,TechnicalNotes,LastUpdated
"36","07/07/2014","Support Supervisor","Dover District Council","True","Planning","07/07/2014","Accepted","https://certificates.theodi.org/datasets/2715/certificates/15121","","","","http://www.dover.gov.uk/Council--Democracy/Freedom-of-Information/CSV/Planning-Applications.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","","Weekly","27","True","15/10/2014","Accepted","21/10/2014","Accepted","2000.0000","True","29/10/2014","07/10/2014we do not hold x&y refs in the planning db. we are looking to modify this in the comoing months and will add them to the submission then","29/10/2014BACS payment process initiated as council has completed its obligations successfully
21/10/2014Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","21/10/2014Passed technical review.
15/10/2014Not passed technical review, notes sent by email.
13/10/2014Not passed technical review, notes sent by email.
10/10/2014Not passed technical review, notes sent by email.
08/10/2014Not passed technical review, notes sent by email.
03/10/2014Not passed technical review, notes sent by email.","29/10/2014"
"38","07/07/2014","support supervisor","Dover District Council","True","Premises","14/10/2014","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","","False","","Not started","","Not started","","False","","","08/10/2014Council has written to withdraw participation from the scheme for this data theme due to internal problems with their administration system in their licensing department","","14/10/2014"
"37","07/07/2014","support supervisor","Dover District Council","True","Toilets","07/07/2014","Accepted","https://certificates.theodi.org/datasets/2223/certificates/14517","","","","http://www.dover.gov.uk/toiletdata","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","2","True","06/08/2014","Accepted","06/08/2014","Accepted","2000.0000","True","29/10/2014","","29/10/2014BACS payment process initiated as council has completed its obligations successfully
06/08/2014Written to confirm data set is complete and acceptable. Forewarned that grant will be made in the batch of 3 submissions when completed and expect a delay until early September 2014 before payments are made.","06/08/2014Passed technical review
05/08/2014Not passed technical review. An email has been sent containing comments.","29/10/2014"
"209","18/08/2014","Information, Monitoring and GIS Assistant","Bournemouth Borough Council","True","Planning","18/08/2014","Accepted","https://certificates.theodi.org/datasets/24145/certificate","http://data.gov.uk/dataset/planning-applications-bournemouth","","","http://archive.bournemouth.gov.uk/library/opendata/planning-applications.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","","Quarterly","10","True","24/02/2015","Accepted","24/02/2015","Accepted","2000.0000","True","02/03/2015","20/02/2015GeoX and GeoY fields are intentionally left blank due to copyright issues using data derived from Ordnance Survey products.","02/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
25/02/2015 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","20/02/2015Not passed technical review. Notes sent by email.
20/02/2015Not passed technical review. Notes sent by email.
18/02/2015Not passed technical review. Notes sent by email.
16/02/2015Not passed technical review. Notes sent by email.","02/03/2015"
"284","16/02/2015","Information, Monitoring and GIS Assistant","Bournemouth Borough Council","True","Premises","16/02/2015","Accepted","https://certificates.theodi.org/datasets/24146/certificate","http://data.gov.uk/dataset/premises-licences-bournemouth","","","http://www.bournemouth.gov.uk/opendata/premises-licences.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","10","True","26/02/2015","Accepted","27/02/2015","Accepted","2000.0000","True","02/03/2015","","02/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
27/02/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","26/02/2015Technical review not passed, notes sent via email.","02/03/2015"
"281","09/02/2015","Information, Monitoring and GIS Assistant","Bournemouth Borough Council","True","Toilets","10/02/2015","Accepted","https://certificates.theodi.org/datasets/24101/certificate/","http://data.gov.uk/dataset/public-toilets-bournemouth","","","http://www.bournemouth.gov.uk/opendata/public-toilets.csv","http://schemas.opendata.esd.org.uk/PublicToilets","","Annually","0","True","13/02/2015","Accepted","13/02/2015","Accepted","3000.0000","True","02/03/2015","","02/03/2015Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
13/02/2015 Written to confirm data set is complete and acceptable. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","13/02/2015Spreadsheet passed review - still requires data.gov.uk link.
11/02/2015Technical review not passed, notes sent via email.
10/02/2015Technical review not passed, notes sent via email.","02/03/2015"
"120","23/07/2014","Knowledge & Information Manager","Suffolk Coastal District Council","True","Planning","24/07/2014","Accepted","https://certificates.theodi.org/datasets/2832/certificates/15276","","","","http://www.suffolkcoastal.gov.uk/assets/Documents/District/Planning-DM/SCDCPlanningApplicationsReceived-1Jan2013to14Oct2014.csv","http://schemas.opendata.esd.org.uk/PlanningApplications","","Annually","20","True","05/02/2015","Accepted","05/02/2015","Accepted","2000.0000","True","23/03/2015","05/02/2015We do not have a licence to include OS-derived northings/ eastings/ UPRN data in Open Data 
05/02/2015We do not have a licence to include OS-derived northings/ eastings/ UPRN data in Open Data 
05/02/2015We do not have a licence to include OS-derived northings/ eastings/ UPRN data in Open Data 
05/02/2015Removed UPRON and point data, updated URI tags. Validated against esd schema tool
22/10/2014Date format has been resolved, all errors resolved.
Please note that some Geo & Y values are missing from source data
20/10/2014cannot save submission
24/07/201420 FOI","23/03/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
05/02/2015Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","05/02/2015Not passed technical review. Notes sent by email.
23/10/2014Not passed technical review. Notes sent by email.
22/10/2014Not passed technical review. Notes sent by email.
22/10/2014Not passed technical review. Notes sent by email.","23/03/2015"
"123","23/07/2014","Knowledge & Information Manager","Waveney District Council","True","Planning","24/07/2014","Accepted","https://certificates.theodi.org/datasets/2842/certificates/15277","","","","http://www.waveney.gov.uk/site/scripts/download.php?fileID=6010","http://schemas.opendata.esd.org.uk/PlanningApplications","","Annually","5","True","05/02/2015","Accepted","05/02/2015","Accepted","2000.0000","True","06/02/2015","05/02/2015We do not have a licence to include OS-derived northings/eastings/UPRN data in Open Data 
04/02/2015We do not have a licence to include OS-derived northings/eastings/UPRN data in Open Data
28/01/2015Validated against esd schema check
22/10/2014Date format has been corrected and other errors resolved
22/10/2014Date format has been corrected and other errors resolved
24/07/20145 FOI requests","06/02/2015 Authorisation given to issue a BACS payment for the incentive grant as all obligations promised by the council have been met.
05/02/2015 Written to confirm data set is complete and acceptable. Reminded need of two versions of data needed - one with and one without georeferences. Forewarned that grant will be paid in a single payment once all themes as promised by the authority have been completed.","02/02/2015Not passed technical review, notes sent by email.
02/02/2015Not passed technical review, notes sent by email.
23/10/2014Not passed technical review, notes sent by email.
22/10/2014Not passed technical review, notes sent by email.
22/10/2014Not passed technical review, notes sent by email.","06/02/2015"
"121","23/07/2014","Knowledge & Information Manager","Suffolk Coastal District Council","True","Premises","23/03/2015","Withdrawn","https://certificates.theodi.org/datasets/24234/certificate","http://data.gov.uk/dataset/premises-licenses-suffolk-coastal-district-council","","","http://scdc.onesuffolk.net/assets/Documents/Council/Access-to-information/Transparency/SCDC-Licence-information-v2.csv","http://schemas.opendata.esd.org.uk/PremisesLicences","","Annually","1","False","","Not started","","Not started","","False","","04/03/2015Checked against ESD schema validator
24/07/20141 FOI","23/03/2015This data theme withdrawn by Programme Manager. Scheme entering its final week and time has run out to review and complete all necessary actions.","05/03/2015Not passed technical review, notes sent by email.","23/03/2015"
"124","23/07/2014","Knowledge & Information Manager","Waveney District Council","True","Premises","04/02/2015","Withdrawn","","","","","","http://schemas.opendata.esd.org.uk/PremisesLicences","","","0","False","","Not started","","Not started","","False","","24/07/20141 FOI request
24/07/20140 FOI requests","04/02/2015Council has written to withdraw participation from the scheme for this data theme due to internal capacity and technical issues","","04/02/2015"
